Name of College,Email
Tompkins Cortland Community College,admissions@tc3.edu 
The Touro College and University System,admissions@touro.edu 
Touro College Jacob D. Fuchsberg Law Center,admissions@tourolaw.edu 
Union College,admissions@union.edu 
Upstate  Medical University,admissions@upstate.edu 
United States Military Academy West Point,admissions@usma.edu 
Utica College,admissions@utica.edu 
Vassar College,admissions@vassar.edu 
Wagner College,admissions@wagner.edu 
Wells College,admissions@wells.edu 
Yeshiva University,admissions@yu.edu 
Canton State University of New York,admissions@canton.edu 
Excelsior College,admissions@excelsior.edu 
Culinary Institute of America,admissions@ciachef.edu 
Ashland University,admissions@ashland.edu 
Aultman College of Nursing and Health Sciences,admissions@aultmancollege.edu 
Belmont College,admissions@belmontcollege.edu 
Bowling Green State University,admissions@bgsu.edu 
Baldwin Wallace University,admissions@bw.edu 
Capital University,admissions@capital.edu 
Case Western Reserve University,admissions@case.edu 
Cincinnati College of Mortuary Science,admissions@ccms.edu 
Cedarville University,admissions@cedarville.edu 
Central State University,admissions@centralstate.edu 
Cincinnati State Technical and Community College,admissions@cincinnatistate.edu 
Central Ohio Technical College,admissions@cotc.edu 
Columbus State Community College,admissions@cscc.edu 
Cleveland State University,admissions@csuohio.edu 
Western Reserve University,admissions@cwru.edu 
Defiance College,admissions@defiance.edu 
Denison University,admissions@denison.edu 
The University of Findlay,admissions@findlay.edu 
Franklin University,admissions@franklin.edu 
Heidelberg University,admissions@heidelberg.edu 
Hiram College,admissions@hiram.edu 
Hocking College,admissions@hocking.edu 
John Carroll University,admissions@jcu.edu 
Kettering College,admissions@kc.edu 
Kent State University,admissions@kent.edu 
Kenyon College,admissions@kenyon.edu 
Lakeland Community College,admissions@lakelandcc.edu 
Lima Central Catholic High School,admissions@lcchs.edu 
Lorain County Community College,admissions@lorainccc.edu 
Malone University,admissions@malone.edu 
Marietta College,admissions@marietta.edu 
Miami University,admissions@miamioh.edu 
University of Mount Union,admissions@mountunion.edu 
Mount Saint Joseph University,admissions@msj.edu 
Muskingum University,admissions@muskingum.edu 
Mount Vernon Nazarene University,admissions@mvnu.edu 
North Central State College,admissions@ncstatecollege.edu 
Oberlin College and Conservatory,admissions@oberlin.edu 
Ohio University,admissions@ohio.edu 
Ohio Dominican University,admissions@ohiodominican.edu 
Ohio State University,admissions@osu.edu 
Ohio Northern University,admissions@onu.edu 
Otterbein University,admissions@otterbein.edu 
Owens Community College,admissions@owens.edu 
Ohio Wesleyan University,admissions@owu.edu 
University of Rio  Grande,admissions@rio.edu 
Shawnee State University,admissions@shawnee.edu 
Sinclair Community College,admissions@sinclair.edu 
Tiffin University,admissions@tiffin.edu 
Cuyahoga Community College,admissions@tri-c.edu 
The University of Akron,admissions@uakron.edu 
University of Cincinnati,admissions@uc.edu 
University of Cincinnati Blue Ash,admissions@ucblueash.edu 
University of Cincinnati Clermont,admissions@ucclermont.edu 
University of Dayton,admissions@udayton.edu 
Urbana University,admissions@urbana.edu 
Ursuline College,admissions@ursuline.edu 
University of Toledo,admissions@utoledo.edu 
Walsh University,admissions@walsh.edu 
Wilmington College,admissions@wilmington.edu 
Wittenberg University,admissions@wittenberg.edu 
The College of Wooster,admissions@wooster.edu 
Wright State University,admissions@wright.edu 
Xavier University,admissions@xavier.edu 
Youngstown State University,admissions@ysu.edu 
Ohio State University,admissions@osu.edu 
Cameron University,admissions@cameron.edu 
Connors State College,admissions@connorsstate.edu 
East  Central University,admissions@ecok.edu 
Langston University,admissions@langston.edu 
Mid-America Christian University,admissions@macu.edu 
Meridian Technology Center,admissions@meridiantech.edu 
Northeastern State University,admissions@nsuok.edu 
Northwestern Oklahoma State University,admissions@nwosu.edu 
Oklahoma Christian University,admissions@oc.edu 
Oklahoma City Community College,admissions@occc.edu 
Oklahoma City University,admissions@okcu.edu 
Oklahoma State University,admissions@okstate.edu 
Oral Roberts University,admissions@oru.edu 
Oklahoma State University Institue of Technology,admissions@osuit.edu 
Oklahoma State University,admissions@osuokc.edu 
The University of Oklahoma,admissions@ou.edu 
The University of Oklahoma Health Sciences Center,admissions@ouhsc.edu 
Rose State College,admissions@rose.edu 
Rogers State University,admissions@rsu.edu 
Southeastern Oklahoma State University,admissions@se.edu 
Southwestern Christian University,admissions@swcu.edu 
Southwestern Oklahoma State Univeristy,admissions@swosu.edu 
Tulsa Community College,admissions@tulsacc.edu 
University of Central Oklahoma,admissions@uco.edu 
University of Science and Arts of Oklahoma,admissions@usao.edu 
University of Tulsa,admissions@utulsa.edu 
Western Oklahoma State College,admissions@wosc.edu 
Blue Mountain Community College,admissions@bluecc.edu 
Clatsop Community College,admissions@clatsopcc.edu 
Central Oregon Community College,admissions@cocc.edu 
Columbia School of English,admissions@cs.edu 
Concordia University Portland Oregon,admissions@cu-portland.edu 
Eastern Oregon University,admissions@eou.edu 
George Fox University,admissions@georgefox.edu 
Lane Community College,admissions@lanecc.edu 
Lewis and Clark,admissions@lclark.edu 
Linfield College,admissions@linfield.edu 
Linn-Benton Community College,admissions@linnbenton.edu 
Marylhurst University,admissions@marylhurst.edu 
National College of Natural Medicine,admissions@ncnm.edu 
Oregon Health and Science University,admissions@ohsu.edu 
Oregon State University,admissions@oregonstate.edu 
Pacific University Oregon,admissions@pacificu.edu 
Portland Community College,admissions@pcc.edu 
Portland State University,admissions@pdx.edu 
Reed College,admissions@reed.edu 
Rogue Community College,admissions@roguecc.edu 
Southwestern Oregon Community  College,admissions@socc.edu 
Southern Oregon University,admissions@sou.edu 
University of Oregon,admissions@uoregon.edu 
University of Portland,admissions@up.edu 
Warner Pacific College,admissions@warnerpacific.edu 
Willamette University,admissions@willamette.edu 
Western Oregon University,admissions@wou.edu 
Allegheny College,admissions@allegheny.edu 
Alvernia University,admissions@alvernia.edu 
Arcadia University,admissions@arcadia.edu 
Baptist Bible College & Seminary,admissions@bbc.edu 
Butler County Community College,admissions@bc3.edu 
Bloomsburg University,admissions@bloomu.edu 
Bryn Mawr College,admissions@brynmawr.edu 
Bucknell University,admissions@bucknell.edu 
Bucks County Community College,admissions@bucks.edu 
California University of Pennsylvania,admissions@calu.edu 
Carlow University,admissions@carlow.edu 
Community College of Allegheny County,admissions@ccac.edu 
Community College of Philadelphia,admissions@ccp.edu 
Cedar Crest College,admissions@cedarcrest.edu 
Chatham University,admissions@chatham.edu 
Chestnut Hill College,admissions@chc.edu 
Clarion University,admissions@clarion.edu 
Carnegie Mellon University,admissions@cmu.edu 
Delaware County Community College,admissions@dccc.edu 
Delaware Valley College,admissions@delval.edu 
Dickinson College,admissions@dickinson.edu 
Drexel University,admissions@drexel.edu 
Drexel University College of Medicine,admissions@drexelmed.edu 
Duquesne University,admissions@duq.edu 
Eastern University,admissions@eastern.edu 
Edinboro University,admissions@edinboro.edu 
Elizabethtown College,admissions@etown.edu 
Evangelical Seminary,admissions@evangelical.edu 
Franklin & Marshall College,admissions@fandm.edu 
Saint Francis University,admissions@francis.edu 
Grove City College,admissions@gcc.edu 
Geneva College,admissions@geneva.edu 
Gettysburg College,admissions@gettysburg.edu 
Harrisburg Area Community College,admissions@hacc.edu 
Haverford College,admissions@haverford.edu 
Holy Family University,admissions@holyfamily.edu 
Indiana University of Pennsylvania,admissions@iup.edu 
Thomas Jefferson University,admissions@jefferson.edu 
Juniata College,admissions@juniata.edu 
Keystone College,admissions@keystone.edu 
King’s College,admissions@kings.edu 
Kutztown University,admissions@kutztown.edu 
Lackawanna College,admissions@lackawanna.edu 
Lafayette College,admissions@lafayette.edu 
Lancaster County Career and Technology Center,admissions@lancasterctc.edu 
Lancaster Theological Seminary,admissions@lancasterseminary.edu 
La Roche College,admissions@laroche.edu 
La Salle University,admissions@lasalle.edu 
Lehigh Carbon Community College,admissions@lccc.edu 
Lake Erie College of Osteopathic Medicine,admissions@lecom.edu 
Lehigh University,admissions@lehigh.edu 
Lock Haven University,admissions@lhup.edu 
The Lincoln University,admissions@lincoln.edu 
Lansdale School of Business,admissions@lsb.edu 
Lebanon Valley College,admissions@lvc.edu 
Lycoming College,admissions@lycoming.edu 
Manor College,admissions@manor.edu 
Mansfield University,admissions@mansfield.edu 
Marywood University,admissions@marywood.edu 
Montgomery County Community College,admissions@mc3.edu 
Mercyhurst University,admissions@mercyhurst.edu 
Messiah College,admissions@messiah.edu 
Millersville University,admissions@millersville.edu 
Misericordia University,admissions@misericordia.edu 
Moravian College,admissions@moravian.edu 
Mount Aloysius College,admissions@mtaloy.edu 
Muhlenberg College,admissions@muhlenberg.edu 
Neumann University,admissions@neumann.edu 
Northampton Community College,admissions@northampton.edu 
Pennsylvania Gunsmith School,admissions@pagunsmith.edu 
Philadelphia College of Osteopathic Medicine,admissions@pcom.edu 
Pennsylvania College of Technology,admissions@pct.edu 
Philadelphia University,admissions@philau.edu 
University of Pittsburgh,admissions@pitt.edu 
Penn State University,admissions@psu.edu 
Reading Area Community College,admissions@racc.edu 
Robert Morris University,admissions@rmu.edu 
Saint Vincent Seminary,admissions@saintvincentseminary.edu 
Salus University,admissions@salus.edu 
The University of Scranton,admissions@scranton.edu 
Shippensburg University,admissions@ship.edu 
Saint Joseph’s University,admissions@sju.edu 
Slippery Rock University,admissions@sru.edu 
Saint Vincent College,admissions@stvincent.edu 
Susquehanna University,admissions@susqu.edu 
Swarthmore College,admissions@swarthmor.edu 
Temple University,admissions@temple.edu 
The  American College of Financial Services,admissions@theamericancollege.edu 
Thiel College,admissions@thiel.edu 
University of the Arts,admissions@uarts.edu 
University of Pennsylvania,admissions@upenn.edu 
University of the Sciences in Philadelphia,admissions@usciences.edu 
Valley Forge Christian College,admissions@vfcc.edu 
Villanova University,admissions@villanova.edu 
Washington and Jefferson  College,admissions@washjeff.edu 
Westmoreland County Community College,admissions@wccc.edu 
West  Chester University,admissions@wcupa.edu 
Westminster College,admissions@westminster.edu 
Widener University,admissions@widener.edu 
Wilkes University,admissions@wilkes.edu 
Wilson College,admissions@wilson.edu 
York College of Pennsylvania,admissions@ycp.edu 
Pennsylvania Academy of the Fine Arts,admissions@pafa.edu 
East Stroudsburg University,admissions@esu.edu 
Ursinus College,admissions@ursinus.edu 
DeSales University,admissions@desales.edu 
Lancaster Bible College,admissions@lbc.edu 
Cheyney University of Pennsylvania,admissions@cheyney.edu 
Brown University,admissions@brown.edu 
Bryant University,admissions@bryant.edu 
Community College of Rhode Island,admissions@ccri.edu 
Johnson and Wales University,admissions@jwu.edu 
New England Institute of Technology,admissions@neit.edu 
Providence College,admissions@providence.edu 
The University of Rhode Island,admissions@uri.edu 
Rhode Island College,admissions@ric.edu 
Rhose Island School of Design,admissions@risd.edu 
Roger Williams University,admissions@rwu.edu 
University of Rhode Island,admissions@uri.edu 
Centura College,admissions@centura.edu 
The Citadel Military College of South Carolina,admissions@citadel.edu 
Columbia International University,admissions@ciu.edu 
Clemson University,admissions@clemson.edu 
Coastal Carolina University,admissions@coastal.edu 
College of Charleston,admissions@cofc.edu 
Coker College,admissions@coker.edu 
Columbia College South Carolina,admissions@columbiasc.edu 
Florence-Darlington Technical College,admissions@fdtc.edu 
Francis Marion University,admissions@fmarion.edu 
Forrest College,admissions@forrestcollege.edu 
Furman University,admissions@furman.edu 
Lander University,admissions@lander.edu 
Limestone College,admissions@limestone.edu 
Midlands Technical College,admissions@midlandstech.edu 
Medical University of South Carolina,admissions@musc.edu 
Newberry College,admissions@newberry.edu 
North Greenville University,admissions@ngu.edu 
Orangeburg-Calhoun Technical College,admissions@octech.edu 
Presbyterian College,admissions@presby.edu 
University of South Carolina,admissions@sc.edu 
South Carolina State University,admissions@scsu.edu 
Sinte Gleska University,admissions@sintegleska.edu 
Spartanburg Methodist College,admissions@smcsc.edu 
TriCounty Technical College,admissions@tctc.edu 
University of South Carolina Aiken,admissions@usca.edu 
University of South Carolina Beaufort,admissions@uscb.edu 
University of South Carolina Upstate,admissions@uscupstate.edu 
Winthrop University,admissions@winthrop.edu 
Wofford College,admissions@wofford.edu 
York Technical College,admissions@yorktech.edu 
Bob Jones University,admissions@bju.edu 
Anderson University,admissions@andersonuniversity.edu 
Black Hills State University,admissions@bhsu.edu 
Dakota State University,admissions@dsu.edu 
Dakota Wesleyan University,admissions@dwu.edu 
Mount Marty College,admissions@mtmc.edu 
Northern State University,admissions@northern.edu 
South Dakota School of Mines and Technology,admissions@sdsmt.edu 
South Dakota State University,admissions@sdstate.edu 
University of South Dakota,admissions@usd.edu 
University of Sioux Falls,admissions@usioxfalls.edu 
Western Dakota Technical Institute,admissions@wdt.edu 
Austin Peay State University,admissions@apsu.edu 
Belmont University,admissions@belmont.edu 
Bryan College,admissions@bryan.edu 
Christian Brothers University,admissions@cbu.edu 
Carson-Newman University,admissions@cn.edu 
Columbia State Community College,admissions@columbiastate.edu 
Cumberland University,admissions@cumberland.edu 
DeVry University,admissions@devry.edu 
East Tennessee State University,admissions@etsu.edu 
Freed-Hardeman University,admissions@fhu.edu 
Fisk University,admissions@fisk.edu 
Huntington College of Health Sciences,admissions@hchs.edu 
Hiwassee College,admissions@hiwassee.edu 
Johnson University,admissions@johnsonu.edu 
Jackson State Community College,admissions@jscc.edu 
Lee University,admissions@leeuniversity.edu 
Lincoln Memorial University,admissions@lmunet.edu 
The LeMoyne-Owen College,admissions@loc.edu 
The University of Memphis,admissions@memphis.edu 
Milligan College,admissions@milligan.edu 
Middle Tennessee State University,admissions@mtsu.edu 
Nashville State Community College,admissions@nscc.edu 
Pellissippi State Community College,admissions@pstcc.edu 
Rhodes College,admissions@rhodes.edu 
Roane State Community College,admissions@roanestate.edu 
Southern College of Optometry,admissions@sco.edu 
Sewanee The University of the South,admissions@sewanee.edu 
Southern Adventist University,admissions@southern.edu 
The University of Tennessee,admissions@tennessee.edu 
Southwest Tennessee Community College,admissions@tn.edu 
Tennessee State University,admissions@tnstate.edu 
Tennessee Technological University,admissions@tntech.edu 
Tennessee Wesleyan College,admissions@twcnet.edu 
University of Tennessee Chattanooga,admissions@utc.edu 
University of Tennessee Health Science Center,admissions@uthsc.edu 
University of Tennessee Knoxville,admissions@utk.edu 
University of Tennessee Martin,admissions@utm.edu 
University of Tennessee Space Institute,admissions@utsi.edu 
Union University,admissions@uu.edu 
Vanderbilt University,admissions@vanderbilt.edu 
Volunteer State Community College,admissions@volstate.edu 
King University,admissions@king.edu 
Abilene Christian University,admissions@acu.edu 
Alamo Colleges,admissions@alamo.edu 
Alvin Community College,admissions@alvincollege.edu 
Angelo State University,admissions@angelo.edu 
Austin Community College District,admissions@austincc.edu 
Austin College,admissions@austincollege.edu 
Austin Graduate School of Theology,admissions@austingrad.edu 
Baylor University,admissions@baylor.edu 
Blinn College,admissions@blinn.edu 
Brazosport College,admissions@brazosport.edu 
Brookhaven College,admissions@brookhavencollege.edu 
Baptist Health System School of Health Professions,admissions@bshp.edu 
Career Point College,admissions@careerpointcollege.edu 
Cedar Valley College,admissions@cedarvalleycollege.edu 
Coastal Bend College,admissions@coastalbend.edu 
College of the Mainland,admissions@com.edu 
Concordia University Texas,admissions@concordia.edu 
Central Texas College,admissions@ctcd.edu 
Culinary Institute LeNotre,admissions@culinaryinstitute.edu 
Dallas Baptist University,admissions@dbu.edu 
Del Mar College,admissions@delmar.edu 
Dallas Nursing Institute,admissions@dni.edu 
El Paso Community College,admissions@epcc.edu 
East Texas Baptist University,admissions@etbu.edu 
Galen College of Nursing,admissions@galencollege.edu 
Galveston College,admissions@gc.edu 
Grayson College,admissions@grayson.edu 
Houston Baptist University,admissions@hbu.edu 
Houston Community College,admissions@hccs.edu 
Hill College,admissions@hillcollege.edu 
Howard College,admissions@howardcollege.edu 
Howard Payne University,admissions@hputx.edu 
Lamar University,admissions@lamar.edu 
Lamar State College – Port Arthur,admissions@lamarpa.edu 
Lubbock Christian University,admissions@lcu.edu 
LeTourneau University,admissions@letu.edu 
Lamar Institute of Technology,admissions@lit.edu 
Lone Star College System,admissions@lonestar.edu 
Lamar State College – Orange,admissions@lsco.edu 
McLennan Community College,admissions@mclennan.edu 
McMurry University,admissions@mcm.edu 
Midland College,admissions@midland.edu 
Midwestern  State University,admissions@mwsu.edu 
National American University,admissions@national.edu 
North Central Texas College,admissions@nctc.edu 
North American University,admissions@northamerican.edu 
North Lake College,admissions@northlakecollege.edu 
Odessa College,admissions@odessa.edu 
Ogle School,admissions@ogleschool.edu 
Our Lady of the Lake University,admissions@ollusa.edu 
Panola College,admissions@panola.edu 
Patty Hands Shelton School of Nursing,admissions@phssn.edu 
Prairie View A&M University,admissions@pvamu.edu 
Rice University,admissions@rice.edu 
Richland College,admissions@richlandcollege.edu 
San Jacinto College,admissions@sanjac.edu 
Schreiner University,admissions@schreiner.edu 
Stephen F. Austin State University,admissions@sfasu.edu 
Sam Houston State University,admissions@shsu.edu 
Southern Methodist University,admissions@smu.edu 
South Plains College,admissions@southplainscollege.edu 
South Texas College,admissions@southtexascollege.htp 
Southwestern University,admissions@southwestern.edu 
Seminary of the Southwest,admissions@ssw.edu 
South Texas College of Law,admissions@stcl.edu 
Saint Edward’s University,admissions@stedwards.edu 
Saint Mary’s University,admissions@stmarytx.edu 
University of Saint Thomas,admissions@stthom.edu 
Texas A&M Health Science Center,admissions@tamhsc.edu 
Texas A&M International University,admissions@tamiu.edu 
Texas A&M University,admissions@tamu.edu 
Texas A&M University Commerce,admissions@tamuc.edu 
Texas A&M University Corpus Christi,admissions@tamucc.edu 
Texas A&M University Kingsville,admissions@tamuk.edu 
Texas A&M University Texarkana,admissions@tamut.edu 
Tarleton State University,admissions@tarleton.edu 
Texas Christian University,admissions@tcu.edu 
Temple College,admissions@templejc.edu 
Tyler Junior College,admissions@tjc.edu 
Trinity University,admissions@trinity.edu 
Texas State Technical College,admissions@tstc.edu 
Texas Southern University,admissions@tsu.edu 
Texas Tech University,admissions@ttu.edu 
Texas Tech University Health Sciences Center,admissions@ttuhsc.edu 
Texas Woman’s University,admissions@twu.edu 
Texas Chiropractic College,admissions@txchiro.edu 
Texas State University,admissions@txstate.edu 
University of Dallas,admissions@udallas.edu 
Universty of Houston,admissions@uh.edu 
University of Houston Clear Lake,admissions@uhcl.edu 
University of Houston Downtown,admissions@uhd.edu 
University of the Incarnate Word,admissions@uiw.edu 
University of Mary Hardin-Baylor,admissions@umhb.edu 
University of North Texas,admissions@unt.edu 
University of North Texas Health Science Center,admissions@unthsc.edu 
University of Texas Arlington,admissions@uta.edu 
University of Texas Brownsville,admissions@utb.edu 
University of Texas Dallas,admissions@utdallas.edu 
University of Texas at El Paso,admissions@utep.edu 
University of Texas at Austin,admissions@utexas.edu 
University of Texas Health Science Center Houston,admissions@uth.edu 
University of Texas Health Science Center San Antonio,admissions@uthscsa.edu 
University of Texas Medical Branch at Galveston,admissions@utmb.edu 
University of Texas Pan American,admissions@utpa.edu 
University of Texas of the Permian Basin,admissions@utpb.edu 
University of Texas at San Antonio,admissions@utsa.edu 
University of Texas Southwestern Medical Center,admissions@utsouthwestern.edu 
University of Texas at Tyler,admissions@online.uttyler.edu/ 
Valley Grande Institute,admissions@vgi.edu 
Victoria College,admissions@victoriacollege.edu 
Wayland Baptist University,admissions@wbu.edu 
Weatherford College,admissions@wc.edu 
West Texas A&M University,admissions@wtamu.edu 
University of the Virgin Islands,admissions@uvi.edu 
Brigham Young University,admissions@byu.edu 
Dixie State University,admissions@dixie.edu 
Salt Lake Community College,admissions@slcc.edu 
Snow College,admissions@snow.edu 
Southern Utah University,admissions@suu.edu 
Utah State University,admissions@usu.edu 
University of Utah,admissions@utah.edu 
Utah Valley University,admissions@uvu.edu 
Weber State University,admissions@weber.edu 
Averett University,admissions@averett.edu 
Christendom College,admissions@christendom.edu 
Christopher Newport University,admissions@cnu.edu 
Dabney S. Lancaster Community College,admissions@dslcc.edu 
Eastern Mennonite University,admissions@emu.edu 
Eastern Virginia Medical School,admissions@evms.edu 
Ferrum College,admissions@ferrum.edu 
Germanna Community College,admissions@germanna.edu 
George Mason University,admissions@gmu.edu 
Hampden-Sydney College,admissions@hsc.edu 
The Institute for the Psychological Sciences,admissions@ipsciences.edu 
James Madison University,admissions@jmu.edu 
Liberty University,admissions@liberty.edu 
Longwood University,admissions@longwood.edu 
Marymount University,admissions@marymount.edu 
New River Community College,admissions@nr.edu 
Norfolk State University,admissions@nsu.edu 
Northern Virginia Community College,admissions@nvcc.edu 
Old Dominion University,admissions@odu.edu 
Radford University,admissions@radford.edu 
Randolph College,admissions@randolphcollege.edu 
Rappahannock Community College,admissions@rappahannock.edu 
Regent University,admissions@regent.edu 
Reynolds Community College,admissions@reynolds.edu 
University of Richmond,admissions@richmond.edu 
Randolph-Macon College,admissions@rmc.edu 
Roanoke College,admissions@roanoke.edu 
Sentara College of Health Sciences,admissions@sentara.edu 
Stratford University,admissions@stratford.edu 
Shenandoah University,admissions@su.edu 
Southern Virgina University,admissions@svu.edu 
Southwest Virgina Community College,admissions@sw.edu 
Tidewater Community College,admissions@tcc.edu 
Thomas Nelson Community College,admissions@tncc.edu 
University of Mary Washington,admissions@umw.edu 
University of Virginia’s College at Wise,admissions@uvawise.edu 
Virginia’s Community Colleges,admissions@vccs.edu 
Virginia Commonwealth University,admissions@vcu.edu 
Virgina Highlands Community College,admissions@vhcc.edu 
Virginia Institute of Marine Science,admissions@vims.edu 
University of Virginia,admissions@virginia.edu 
Virginia Western Community College,admissions@virginiawestern.edu 
Virginia International University,admissions@viu.edu 
Virginia State University,admissions@vsu.edu 
Virginia Polytechnic Institute and State University,admissions@vt.edu 
Virginia Union University,admissions@vuu.edu 
Virginia Wesleyan College,admissions@vwc.edu 
Washington and Lee University,admissions@wlu.edu 
The College of William and Mary,admissions@wm.edu 
Castleton State College of Vermont,admissions@castleton.edu 
Champlain College,admissions@champlain.edu 
Green Mountain College,admissions@greenmtn.edu 
Johnson State College,admissions@jsc.edu 
Middlebury College,admissions@middlebury.edu 
New England Culinary Institute,admissions@neci.edu 
Norwich  University,admissions@norwich.edu 
School for International Training,admissions@sit.edu 
Saint Michael’s College,admissions@smcvt.edu 
University of Vermont,admissions@uvm.edu 
University of Vermont,admissions@uvm.edu 
Vermont Law School,admissions@vermontlaw.edu 
Vermont Technical College,admissions@vtc.edu 
Bennington College,admissions@bennington.edu 
Bellevue College,admissions@bellevuecollege.edu 
Big Bend Community College,admissions@bigbend.edu 
Cascadia Community College,admissions@cascadia.edu 
Centralia College,admissions@centralia.edu 
Charter College,admissions@chartercollege.edu 
Clark College,admissions@clark.edu 
Central Washington University,admissions@cwu.edu 
DigiPen Institute of Technology,admissions@digipen.edu 
Edmonds Community College,admissions@edcc.edu 
Everett Community College,admissions@everettcc.edu 
The Evergreen State College,admissions@evergreen.edu 
Eastern Washington University,admissions@ewu.edu 
Faith Evangelical College and Seminary,admissions@faithseminary.edu 
Gonzaga University,admissions@gonzaga.edu 
Green River Community College,admissions@greenriver.edu 
Highline College,admissions@highline.edu 
Mukogawa Fort Wright Institute,admissions@mfwi.edu 
North Seattle College,admissions@northseattle.edu 
Olympic College,admissions@olympic.edu 
Peninsula College,admissions@pencol.edu 
Perry Technical Institute,admissions@perrytech.edu 
Pacific Lutheran University,admissions@plu.edu 
Renton Technical College,admissions@rtc.edu 
Seattle Central College,admissions@seattlecentral.edu 
Seattle University,admissions@seattleu.edu 
Shoreline Community College,admissions@shoreline.edu 
Seattle Institute of Oriental Medicine,admissions@siom.edu 
Skagit Valley College,admissions@skagit.edu 
South Seattle College,admissions@southseattle.edu 
Spokane Falls Community College,admissions@spokanefalls.edu 
Seattle Pacific University,admissions@spu.edu 
Saint Martin’s University,admissions@stmartin.edu 
University of Puget Sound,admissions@pugetsound.edu 
University of Washington,admissions@uw.edu 
University of Washington Bothell,admissions@uwb.edu 
Walla Walla University,admissions@wallawalla.edu 
Whitman College,admissions@whitman.edu 
Whitworth University,admissions@whitworth.edu 
Washington State University,admissions@wsu.edu 
Wenatchee Valley College,admissions@wvc.edu 
Walla Walla Community College,admissions@wwcc.edu 
Western Washington University,admissions@wwu.edu 
Yakima Valley Community College,admissions@yvcc.edu 
University of Washington,admissions@washington.edu 
Alverno College,admissions@alverno.edu 
Carroll University,admissions@carrollu.edu 
Carthage College,admissions@carthage.edu 
Chippewa Valley Technical College,admissions@cvtc.edu 
Edgewood College,admissions@edgewood.edu 
Gateway Technical College,admissions@gtc.edu 
The Institute of Beauty and Wellness,admissions@ibw.edu 
Lawrence University,admissions@lawrence.edu 
Madison Area Technical College,admissions@madisoncollege.edu 
Marquette University,admissions@marquette.edu 
Milwaukee Area Technical College,admissions@matc.edu 
Medical College of Wisconsin,admissions@mcw.edu 
Milwaukee Institute of Art and Design,admissions@miad.edu 
Moraine Park Technical College,admissions@morainepark.edu 
Milwaukee School of Engineering,admissions@msoe.edu 
Northland College,admissions@northland.edu 
Northcentral  Technical College,admissions@ntc.edu 
Northeast Wisconsin Technical College,admissions@nwtc.edu 
Silver Lake College of the Holy Family,admissions@sl.edu 
Saint Norbert College,admissions@snc.edu 
Cardinal Stritch University,admissions@stritch.edu 
University of Wisconsin Colleges,admissions@uwc.edu 
University of Wisconsin Eau Claire,admissions@uwec.edu 
University of Wisconsin Extension,admissions@uwex.edu 
University of Wisconsin Green Bay,admissions@uwgb.edu 
University of Wisconsin La Crosse,admissions@uwlax.edu 
University of Wisconsin Milwaukee,admissions@uwm.edu 
University of Wisconsin Oshkosh,admissions@uwosh.edu 
University of Wisconsin Platteville,admissions@uwplatt.edu 
University of Wisconsin River Falls,admissions@uwrf.edu 
University of Wisconsin Stevens Point,admissions@uwsp.edu 
University of Wisconsin Superior,admissions@uwsuper.edu 
University of Wisconsin Whitewater,admissions@uww.edu 
Viterbo University,admissions@viterbo.edu 
Waukesha County Technical College,admissions@wctc.edu 
University of Wisconsin Madison,admissions@wisc.edu 
Wisconsin Indianhead Technical College,admissions@witc.edu 
Wisconsin Lutheran College,admissions@wlc.edu 
Wisconsin Technical College System,admissions@wtcsystem.edu 
Western Technical College,admissions@westerntc.edu 
American Public University System,admissions@apus.edu 
Concord University,admissions@concord.edu 
Eastern West Virgina Community and Technical College,admissions@easternwv.edu 
Fairmont State University,admissions@fairmontstate.edu 
Marshall University,admissions@marshall.edu 
Ohio Valley University,admissions@ovu.edu 
Pierpont Community and Technical College,admissions@pierpont.edu 
Shepherd University,admissions@shepherd.edu 
University of Charleston,admissions@ucwv.edu 
West Liberty University,admissions@westliberty.edu 
Wheeling Jesuit University,admissions@wju.edu 
West Virginia Northern Community College,admissions@wvncc.edu 
West Virginia State University,admissions@wvstateu.edu 
West Virginia University,admissions@wvu.edu 
West Virginia Wesleyan College,admissions@wvwc.edu 
Casper College,admissions@caspercollege.edu 
Central Wyoming College,admissions@cwc.edu 
National Outdoor Leadership School,admissions@nols.edu 
Northwest College,admissions@northwestcollege.edu 
Northern Wyoming Community College District,admissions@sheridan.edu 
University of Wyoming,admissions@uwyo.edu 
